product_id,category,subcategory,brand,unit_size,unit_measure,mrp,supplier_id,shelf_life_days,import_flag
P00001,FMCG,Snacks,Haldiram's,100g,g,381.65,SUP070,189,Domestic
P00002,Toys & Stationery,Notebooks,Dmart Premia (Own Brand),Pack of 10,pcs,192.08,SUP040,0,Domestic
P00003,Footwear,Women's Footwear,Bata,UK9,pcs,2262.35,SUP093,0,Domestic
P00004,Home & Kitchen,Cookware,Milton,1 pc,pcs,844.71,SUP053,0,Domestic
P00005,Toys & Stationery,School Bags,Dmart Premia (Own Brand),Set of 5,pcs,1093.2,SUP036,0,Domestic
P00006,FMCG,Packaged Food,Amul,250ml,L,66.9,SUP010,18,Imported
P00007,Home & Kitchen,Cleaning Supplies,Cello,Set of 3,pcs,1667.09,SUP076,0,Domestic
P00008,Toys & Stationery,Notebooks,Classmate,Set of 5,pcs,1027.86,SUP015,0,Domestic
P00009,Electronics,Small Appliances,Philips,1 pc,pcs,1383.19,SUP025,0,Domestic
P00010,FMCG,Snacks,Parle,200g,g,343.62,SUP055,200,Domestic
P00011,Home & Kitchen,Appliances,Cello,500ml,L,3484.87,SUP120,0,Domestic
P00012,Personal Care,Haircare,Colgate-Palmolive,100ml,L,372.87,SUP066,526,Domestic
P00013,FMCG,Confectionery,Coca-Cola,250ml,L,239.77,SUP026,142,Domestic
P00014,Personal Care,Bath & Body,L'Oreal,50ml,L,426.62,SUP079,820,Domestic
P00015,Home & Kitchen,Storage & Containers,Prestige,1L,L,2129.98,SUP019,0,Domestic
P00016,FMCG,Bakery,Parle,100g,g,203.6,SUP059,78,Domestic
P00017,Grocery,Spices,Dmart Premia (Own Brand),10kg,g,551.46,SUP112,134,Imported
P00018,Electronics,Lighting,Syska,Pack of 4,pcs,847.52,SUP086,0,Domestic
P00019,Home & Kitchen,Cleaning Supplies,Dmart Premia (Own Brand),1 pc,pcs,1673.47,SUP051,0,Domestic
P00020,Toys & Stationery,Notebooks,Dmart Premia (Own Brand),Pack of 10,pcs,930.27,SUP099,0,Domestic
P00021,Footwear,Men's Footwear,Relaxo,UK9,pcs,1676.19,SUP072,0,Domestic
P00022,Home & Kitchen,Storage & Containers,Bajaj,Set of 6,pcs,1481.65,SUP029,0,Domestic
P00023,FMCG,Bakery,Coca-Cola,6 pcs,pcs,220.01,SUP088,137,Domestic
P00024,Electronics,Small Appliances,Philips,Pack of 2,pcs,2917.56,SUP089,0,Domestic
P00025,FMCG,Bakery,Dmart Premia (Own Brand),250ml,L,11.36,SUP002,258,Domestic
P00026,Grocery,Tea & Coffee,Everest,1kg,g,184.28,SUP044,254,Domestic
P00027,Personal Care,Cosmetics,Dabur,100ml,L,376.93,SUP053,647,Domestic
P00028,Personal Care,Haircare,P&G,100ml,L,364.45,SUP003,1028,Domestic
P00029,Apparel,Men's Wear,MinCloud,M,pcs,1611.26,SUP036,0,Domestic
P00030,Electronics,Small Appliances,Philips,1 pc,pcs,177.83,SUP054,0,Imported
