invoice_id,store_id,product_id,date,quantity,price,discount,payment_mode,customer_id,sales_channel,cashier_id,invoice_amount,gst_amount,return_flag
INV0000001,ST00342,P00100,2023-11-03,1,1326.23,4.59,Wallet,,In-store,EMP02027,1480.24,158.6,False
INV0000002,ST00898,P00034,2024-06-27,1,2127.02,198.48,Cash,,In-store,EMP02447,2024.97,96.43,False
INV0000003,ST00260,P00455,2023-10-01,7,520.97,813.21,UPI,,Kiosk,EMP02036,3343.62,510.04,False
INV0000004,ST00717,P00591,2023-03-04,6,285.38,55.45,Card,,In-store,EMP00972,1739.67,82.84,False
INV0000005,ST00991,P00342,2023-02-05,4,4177.29,1508.41,UPI,C005667,Online,EMP00580,15960.79,760.04,False
INV0000006,ST00005,P00278,2022-04-08,2,328.11,0.48,Wallet,,In-store,EMP00139,688.53,32.79,False
INV0000007,ST00972,P00199,2022-08-05,3,1278.88,10.4,UPI,C027403,In-store,EMP02986,4017.55,191.31,False
INV0000008,ST00217,P00626,2022-05-15,1,1193.48,83.86,UPI,,In-store,EMP02862,1165.1,55.48,False
INV0000009,ST00506,P00441,2022-08-26,2,322.75,76.32,Card,C025072,In-store,EMP00348,637.48,68.3,False
INV0000010,ST00271,P01000,2022-05-12,2,4241.13,5.41,UPI,C028707,In-store,EMP00074,8900.69,423.84,False
INV0000011,ST00152,P00479,2024-01-20,3,117.01,41.23,Card,C008988,In-store,EMP00558,365.56,55.76,False
INV0000012,ST00738,P00659,2023-10-24,2,1799.48,751.68,UPI,C017668,Online,EMP02394,3359.79,512.51,False
INV0000013,ST00507,P01053,2024-05-11,4,499.4,181.92,Wallet,,In-store,EMP00287,2033.56,217.88,False
INV0000014,ST00535,P01035,2023-08-05,7,1673.68,1199.13,UPI,C032923,In-store,EMP01255,11778.63,1262.0,False
INV0000015,ST00508,P00549,2022-11-30,5,213.67,20.44,Wallet,C026205,In-store,EMP01257,1173.66,125.75,False
INV0000016,ST00785,P00230,2022-10-01,6,2037.9,442.33,UPI,C025090,In-store,EMP01181,12374.32,589.25,False
INV0000017,ST01015,P00435,2022-04-12,4,455.96,157.27,UPI,,In-store,EMP02427,1866.56,199.99,False
INV0000018,ST00539,P00296,2022-07-27,7,93.47,51.6,UPI,C032875,In-store,EMP01611,632.82,30.13,False
INV0000019,ST00164,P00536,2023-07-04,4,207.32,33.95,Card,C009718,In-store,EMP01854,835.1,39.77,False
INV0000020,ST00344,P00164,2024-09-23,3,739.75,61.27,UPI,C009356,Online,EMP02633,2265.88,107.9,False
INV0000021,ST00521,P00444,2023-02-05,5,421.65,80.99,Cash,C036963,In-store,EMP00820,2128.62,101.36,False
INV0000022,ST00109,P00087,2023-10-05,6,751.8,186.18,UPI,C028323,In-store,EMP02686,4540.85,216.23,False
INV0000023,ST00241,P01071,2022-10-16,7,1406.59,1511.93,Wallet,C025424,In-store,EMP00208,9334.3,1000.1,False
INV0000024,ST00213,P00012,2024-07-13,1,365.19,8.74,Cash,,Online,EMP00593,399.22,42.77,False
INV0000025,ST01022,P00978,2022-03-24,1,856.77,65.31,Card,C012402,In-store,EMP02972,886.44,94.98,False
INV0000026,ST00421,P01021,2022-10-17,2,360.17,45.45,UPI,C037718,In-store,EMP02761,796.37,121.48,False
INV0000027,ST00923,P01056,2024-12-20,3,188.1,42.62,UPI,,In-store,EMP02014,615.58,93.9,False
INV0000028,ST00580,P00497,2023-06-05,5,852.5,255.09,Cash,,In-store,EMP02607,4207.78,200.37,False
INV0000029,ST00532,P00851,2024-04-29,5,241.15,81.42,Cash,C020012,In-store,EMP02839,1326.71,202.38,False
INV0000030,ST00986,P01033,2022-10-09,3,145.0,33.48,Wallet,C015150,Kiosk,EMP02412,421.6,20.08,False
INV0000031,ST00727,P00922,2024-06-26,4,554.46,208.5,Cash,,In-store,EMP01576,2109.81,100.47,False
INV0000032,ST00252,P00951,2022-06-24,3,1336.82,338.66,UPI,,In-store,EMP02428,4332.72,660.92,False
INV0000033,ST00296,P00539,2023-04-15,7,3914.95,1009.56,UPI,C021251,In-store,EMP00837,29562.5,3167.41,False
INV0000034,ST00700,P00819,2023-03-03,6,5518.77,2007.08,UPI,,In-store,EMP01385,34838.2,3732.66,False
