store_id,store_name,city,district,state,opening_date,store_type,area_sqft,manager_id,latitude,longitude
ST00001,Dmart Navi Mumbai - Mini-mart 1,Navi Mumbai,Thane,Maharashtra,2006-09-06,Mini-mart,9897,MGR0038,19.1091,73.071482
ST00002,Dmart Yavatmal - Hypermarket 2,Yavatmal,Yavatmal,Maharashtra,2014-05-05,Hypermarket,52512,MGR0370,20.411818,78.172042
ST00003,Dmart Chandrapur - Hypermarket 3,Chandrapur,Chandrapur,Maharashtra,2021-01-24,Hypermarket,40519,MGR0331,19.982566,79.337394
ST00004,Dmart Yavatmal - Express 4,Yavatmal,Yavatmal,Maharashtra,2017-10-21,Express,4625,MGR0078,20.383475,78.047409
ST00005,Dmart Chandrapur - Mini-mart 5,Chandrapur,Chandrapur,Maharashtra,2011-12-12,Mini-mart,14302,MGR0131,19.940774,79.291229
ST00006,Dmart Beed - Hypermarket 6,Beed,Beed,Maharashtra,2011-03-16,Hypermarket,31631,MGR0268,18.979044,75.813329
ST00007,Dmart Ratnagiri - Mini-mart 7,Ratnagiri,Ratnagiri,Maharashtra,2013-10-23,Mini-mart,12910,MGR0155,16.960532,73.329199
ST00008,Dmart Ratnagiri - Hypermarket 8,Ratnagiri,Ratnagiri,Maharashtra,2020-10-22,Hypermarket,29891,MGR0266,17.027226,73.344917
ST00009,Dmart Chandrapur - Mini-mart 9,Chandrapur,Chandrapur,Maharashtra,2009-02-12,Mini-mart,6335,MGR0267,19.956875,79.306538
ST00010,Dmart Navi Mumbai - Mini-mart 10,Navi Mumbai,Thane,Maharashtra,2006-07-22,Mini-mart,11088,MGR0122,18.957931,73.019575
ST00011,Dmart Bhandara - Mini-mart 11,Bhandara,Bhandara,Maharashtra,2005-03-23,Mini-mart,14933,MGR0024,21.131821,79.619075
ST00012,Dmart Latur - Mini-mart 12,Latur,Latur,Maharashtra,2023-08-12,Mini-mart,10545,MGR0163,18.459043,76.507116
ST00013,Dmart Kolhapur - Hypermarket 13,Kolhapur,Kolhapur,Maharashtra,2018-06-20,Hypermarket,25794,MGR0065,16.705167,74.18767
ST00014,Dmart Ahmednagar - Mini-mart 14,Ahmednagar,Ahmednagar,Maharashtra,2009-04-19,Mini-mart,7495,MGR0252,19.07309,74.683624
ST00015,Dmart Kolhapur - Express 15,Kolhapur,Kolhapur,Maharashtra,2014-09-13,Express,4680,MGR0107,16.780068,74.2879
ST00016,Dmart Solapur - Mini-mart 16,Solapur,Solapur,Maharashtra,2006-02-13,Mini-mart,12632,MGR0361,17.652824,75.858778
ST00017,Dmart Osmanabad - Mini-mart 17,Osmanabad,Osmanabad,Maharashtra,2013-11-01,Mini-mart,10922,MGR0303,18.221114,76.031035
ST00018,Dmart Amravati - Mini-mart 18,Amravati,Amravati,Maharashtra,2016-02-21,Mini-mart,6852,MGR0166,20.864058,77.778639
ST00019,Dmart Nashik - Hypermarket 19,Nashik,Nashik,Maharashtra,2008-08-22,Hypermarket,36545,MGR0069,20.065519,73.80277
ST00020,Dmart Dhule - Mini-mart 20,Dhule,Dhule,Maharashtra,2007-12-12,Mini-mart,8652,MGR0193,20.949438,74.708137
ST00021,Dmart Solapur - Mini-mart 21,Solapur,Solapur,Maharashtra,2008-07-15,Mini-mart,9970,MGR0189,17.622616,75.879451
ST00022,Dmart Chandrapur - Mini-mart 22,Chandrapur,Chandrapur,Maharashtra,2011-10-01,Mini-mart,8561,MGR0358,19.90394,79.304746
ST00023,Dmart Kolhapur - Mini-mart 23,Kolhapur,Kolhapur,Maharashtra,2009-08-20,Mini-mart,7069,MGR0291,16.747984,74.180539
